#i	Fraction(phi)	Theoretical(kg)	WtPercent	Actual(kg)	Actual/Theoretical
9	5.0	7.9031e+07	1.6534	2.0569e+07	0.2603
8	4.0	2.1055e+08	4.4048	1.4106e+08	0.6700
7	3.0	4.3901e+08	9.1843	4.2507e+08	0.9682
6	2.0	7.1647e+08	14.9889	7.1583e+08	0.9991
5	1.0	9.1528e+08	19.1481	9.1528e+08	1.0000
4	0.0	9.1528e+08	19.1481	9.1528e+08	1.0000
3	-1.0	7.1647e+08	14.9889	7.1647e+08	1.0000
2	-2.0	4.3901e+08	9.1843	4.3901e+08	1.0000
1	-3.0	2.1055e+08	4.4048	2.1055e+08	1.0000
0	-4.0	7.9031e+07	1.6534	7.9031e+07	1.0000
