s	phi0.0	phi-0.1	phi-0.2	phi-0.3	phi-0.4	phi-0.5	phi-0.6	phi-0.7	phi-0.8	phi-0.9
0	2114678.2946	2258984.5455	2406975.0047	2558099.8845	2711746.6780	2867242.3777	3072180.3193	3123452.8936	3167584.8778	3204249.1878
1	2067762.7929	2205313.5061	2345736.0006	2488408.8095	2632645.4281	2777697.1167	2967823.3120	3013679.1980	3052406.5483	3083707.1733
2	2021888.1418	2152917.6328	2286055.0582	2420616.3491	2555851.5500	2690948.3941	2867011.1439	2907763.4970	2941416.2825	2967699.8801
3	1977031.2494	2101766.6289	2227892.5368	2354670.7789	2481297.7380	2606908.8729	2769623.4024	2805570.2014	2834461.7961	2856056.7147
4	1933169.5361	2051830.9179	2171209.8043	2290521.7835	2408918.6496	2525493.9435	2675543.7653	2706968.4874	2731396.3417	2748613.5010
5	1890280.9232	2003081.6255	2115969.2115	2228120.4182	2338650.8485	2446621.6388	2584659.8616	2611832.1288	2632078.5080	2645212.2394
6	1848343.8218	1955490.5638	2062134.0670	2167419.0718	2270432.7489	2370212.5514	2496863.1375	2520039.3358	2536372.0258	2545700.8739
7	1807337.1221	1909030.2145	2009668.6129	2108371.4302	2204204.5611	2296189.7540	2412048.7264	2431472.5988	2444145.5807	2449933.0687
8	1767240.1824	1863673.7130	1958538.0011	2050932.4411	2139908.2397	2224478.7216	2330115.3240	2346018.5383	2355272.6330	2357767.9935
9	1728032.8193	1819394.8332	1908708.2702	1995058.2794	2077487.4326	2155007.2568	2250965.0670	2263567.7591	2269631.2444	2269070.1154
10	1689695.2967	1776167.9718	1860146.3228	1940706.3141	2016887.4312	2087705.4169	2174503.4165	2184014.7111	2187103.9103	2183709.0006
11	1652208.3168	1733968.1341	1812819.9035	1887835.0755	1958055.1228	2022505.4435	2100639.0449	2107257.5535	2107577.3989	2101559.1219
12	1615553.0098	1692770.9191	1766697.5776	1836404.2238	1900938.9442	1959341.6944	2029283.7267	2033198.0248	2030942.5956	2022499.6744
13	1579710.9243	1652552.5055	1721748.7102	1786374.5180	1845488.8361	1898150.5775	1960352.2336	1961741.3170	1957094.3533	1946414.3980
14	1544664.0187	1613289.6381	1677943.4459	1737707.7864	1791656.1995	1838870.4865	1893762.2320	1892795.9538	1885931.3483	1873191.4060
15	1510394.6513	1574959.6142	1635252.6886	1690366.8970	1739393.8529	1781441.7393	1829434.1854	1826273.6742	1817355.9413	1802723.0209
16	1476885.5718	1537540.2703	1593648.0828	1644315.7295	1688655.9912	1725806.5175	1767291.2586	1762089.3189	1751274.0431	1734905.6160
17	1444119.9129	1501009.9697	1553101.9944	1599519.1477	1639398.1455	1671908.8085	1707259.2268	1700160.7216	1687594.9858	1669639.4629
18	1412081.1813	1465347.5897	1513587.4920	1555942.9724	1591577.1438	1619694.3491	1649266.3862	1640408.6037	1626231.3984	1606828.5851
19	1380753.2496	1430532.5095	1475078.3299	1513553.9559	1545151.0737	1569110.5706	1593243.4688	1582756.4730	1567099.0869	1546380.6163
20	1350120.3483	1396544.5981	1437548.9298	1472319.7559	1500079.2452	1520106.5461	1539123.5595	1527130.5253	1510116.9184	1488206.6655
21	1320167.0577	1363364.2028	1400974.3644	1432208.9114	1456322.1553	1472632.9391	1486842.0162	1473459.5506	1455206.7106	1432221.1853
22	1290878.3001	1330972.1379	1365330.3403	1393190.8186	1413841.4532	1426641.9542	1436336.3925	1421674.8413	1402293.1236	1378341.8467
23	1262239.3325	1299349.6737	1330593.1826	1355235.7073	1372599.9070	1382087.2883	1387546.3634	1371710.1047	1351303.5571	1326489.4179
24	1234235.7388	1268478.5251	1296739.8185	1318314.6184	1332561.3705	1338924.0845	1340413.6528	1323501.3778	1302168.0509	1276587.6476
25	1206853.4230	1238340.8418	1263747.7621	1282399.3817	1293690.7522	1297108.8868	1294881.9643	1276986.9458	1254819.1884	1228563.1534
26	1180078.6015	1208919.1973	1231595.0998	1247462.5944	1255953.9841	1256599.5965	1250896.9137	1232107.2626	1209192.0044	1182345.3130
27	1153897.7966	1180196.5794	1200260.4755	1213477.6004	1219317.9920	1217355.4294	1208405.9644	1188804.8751	1165223.8961	1137866.1612
28	1128297.8298	1152156.3800	1169723.0765	1180418.4697	1183750.6664	1179336.8752	1167358.3640	1147024.3493	1122854.5368	1095060.2896
29	1103265.8148	1124782.3856	1139962.6194	1148259.9787	1149220.8343	1142505.6574	1127705.0844	1106712.1992	1082025.7935	1053864.7503
30	1078789.1512	1098058.7677	1110959.3371	1116977.5910	1115698.2324	1106824.6951	1089398.7627	1067816.8190	1042681.6470	1014218.9635
31	1054855.5181	1071970.0742	1082693.9653	1086547.4387	1083153.4799	1072258.0651	1052393.6449	1030288.4162	1004768.1151	976064.6285
32	1031452.8682	1046501.2200	1055147.7298	1056946.3041	1051558.0529	1038770.9664	1016645.5313	994078.9484	968233.1784	939345.6376
33	1008569.4211	1021637.4783	1028302.3342	1028151.6020	1020884.2599	1006329.6848	982111.7233	959142.0617	933026.7090	904007.9941
34	986193.6580	997364.4723	1002139.9475	1000141.3625	991105.2169	974901.5589	948750.9731	925433.0313	899100.4017	869999.7325
35	964314.3157	973668.1668	976643.1924	972894.2143	962194.8241	944454.9475	916523.4337	892908.7041	866407.7080	837270.8421
36	942920.3807	950534.8600	951795.1335	946389.3682	934127.7433	914959.1973	885390.6119	861527.4438	834903.7716	805773.1938
37	922001.0839	927951.1757	927579.2667	920606.6015	906879.3751	886384.6126	855315.3217	831249.0773	804545.3675	775460.4689
38	901545.8953	905904.0554	903979.5075	895526.2424	880425.8377	858702.4249	826261.6406	802034.8435	775290.8423	746288.0913
39	881544.5182	884380.7508	880980.1807	871129.1550	854743.9461	831884.7644	798194.8662	773847.3434	747100.0574	718213.1619
40	861986.8845	863368.8169	858566.0099	847396.7247	829811.1915	805904.6313	771081.4748	746650.4925	719934.3334	691194.3951
41	842863.1496	842856.1038	836722.1073	824310.8440	805605.7217	780735.8695	744889.0816	720409.4745	693756.3975	665192.0589
42	824163.6870	822830.7507	815433.9641	801853.8988	782106.3218	756353.1393	719586.4016	695090.6965	668530.3322	640167.9156
43	805879.0841	803281.1784	794687.4405	780008.7549	759292.3960	732731.8926	695143.2129	670661.7465	644221.5260	616085.1662
