s	phi2.0	phi1.9	phi1.8	phi1.7	phi1.6	phi1.5	phi1.4	phi1.3	phi1.2	phi1.1
0	331542.9100	372549.8567	417577.4700	466871.3999	520672.3978	579213.1305	642714.7233	711383.0532	785404.8235	864943.4570
1	329688.5369	370317.0176	414895.7124	463658.6094	516833.1583	574636.9110	637273.8797	704930.6395	777772.2065	855937.7321
2	327844.5356	368097.5607	412231.1777	460467.9277	513022.2279	570096.8471	631879.0951	698536.7507	770213.7638	847025.7741
3	326010.8481	365891.4059	409583.7550	457299.2029	509239.3978	565592.6531	626529.9795	692200.8561	762728.7746	838206.6067
4	324187.4167	363698.4735	406953.3345	454152.2837	505484.4609	561124.0456	621226.1464	685922.4295	755316.5250	829479.2638
5	322374.1841	361518.6841	404339.8071	451027.0201	501757.2115	556690.7434	615967.2124	679700.9497	747976.3082	820842.7894
6	320571.0932	359351.9592	401743.0643	447923.2632	498057.4453	552292.4677	610752.7974	673535.9002	740707.4240	812296.2372
7	318778.0872	357198.2202	399162.9981	444840.8649	494384.9598	547928.9417	605582.5246	667426.7692	733509.1794	803838.6711
8	316995.1098	355057.3895	396599.5017	441779.6781	490739.5539	543599.8908	600456.0203	661373.0495	726380.8878	795469.1645
9	315222.1049	352929.3896	394052.4684	438739.5571	487121.0277	539305.0427	595372.9140	655374.2384	719321.8694	787186.8006
10	313459.0167	350814.1437	391521.7927	435720.3567	483529.1832	535044.1271	590332.8382	649429.8380	712331.4511	778990.6721
11	311705.7898	348711.5753	389007.3694	432721.9330	479963.8236	530816.8759	585335.4287	643539.3547	705408.9661	770879.8809
12	309962.3689	346621.6084	386509.0942	429744.1431	476424.7536	526623.0232	580380.3243	637702.2995	698553.7542	762853.5388
13	308228.6992	344544.1675	384026.8634	426786.8450	472911.7793	522462.3051	575467.1670	631918.1878	691765.1618	754910.7662
14	306504.7263	342479.1776	381560.5739	423849.8976	469424.7084	518334.4598	570595.6015	626186.5394	685042.5414	747050.6933
15	304790.3958	340426.5639	379110.1233	420933.1609	465963.3498	514239.2276	565765.2758	620506.8783	678385.2519	739272.4588
16	303085.6538	338386.2524	376675.4100	418036.4958	462527.5139	510176.3508	560975.8408	614878.7332	671792.6583	731575.2106
17	301390.4468	336358.1692	374256.3329	415159.7642	459117.0126	506145.5738	556226.9504	609301.6367	665264.1320	723958.1057
18	299704.7213	334342.2412	371852.7915	412302.8289	455731.6590	502146.6430	551518.2612	603775.1257	658799.0504	716420.3094
19	298028.4243	332338.3955	369464.6861	409465.5537	452371.2678	498179.3067	546849.4331	598298.7416	652396.7968	708960.9961
20	296361.5031	330346.5595	367091.9175	406647.8034	449035.6547	494243.3153	542220.1284	592872.0295	646056.7608	701579.3486
21	294703.9053	328366.6615	364734.3873	403849.4434	445724.6372	490338.4213	537630.0128	587494.5390	639778.3377	694274.5583
22	293055.5787	326398.6297	362391.9975	401070.3405	442438.0339	486464.3789	533078.7543	582165.8236	633560.9288	687045.8248
23	291416.4715	324442.3932	360064.6510	398310.3620	439175.6647	482620.9443	528566.0241	576885.4410	627403.9410	679892.3564
24	289786.5320	322497.8811	357752.2512	395569.3765	435937.3510	478807.8757	524091.4961	571652.9527	621306.7873	672813.3694
25	288165.7091	320565.0233	355454.7019	392847.2531	432722.9154	475024.9332	519654.8467	566467.9242	615268.8861	665808.0882
26	286553.9517	318643.7499	353171.9080	390143.8621	429532.1818	471271.8789	515255.7554	561329.9253	609289.6616	658875.7455
27	284951.2091	316733.9914	350903.7746	387459.0745	426364.9755	467548.4764	510893.9042	556238.5292	603368.5437	652015.5818
28	283357.4309	314835.6789	348650.2075	384792.7624	423221.1229	463854.4917	506568.9779	551193.3133	597504.9675	645226.8455
29	281772.5670	312948.7437	346411.1132	382144.7987	420100.4519	460189.6922	502280.6638	546193.8587	591698.3740	638508.7931
30	280196.5675	311073.1176	344186.3988	379515.0570	417002.7915	456553.8474	498028.6521	541239.7503	585948.2094	631860.6886
31	278629.3828	309208.7330	341975.9720	376903.4119	413927.9721	452946.7285	493812.6354	536330.5769	580253.9252	625281.8036
32	277070.9636	307355.5223	339779.7408	374309.7389	410875.8253	449368.1086	489632.3090	531465.9308	574614.9785	618771.4174
33	275521.2609	305513.4186	337597.6143	371733.9144	407846.1838	445817.7624	485487.3708	526645.4083	569030.8314	612328.8169
34	273980.2259	303682.3554	335429.5018	369175.8155	404838.8817	442295.4667	481377.5212	521868.6090	563500.9515	605953.2962
35	272447.8102	301862.2665	333275.3133	366635.3203	401853.7544	438800.9997	477302.4631	517135.1365	558024.8113	599644.1570
36	270923.9656	300053.0862	331134.9594	364112.3075	398890.6382	435334.1417	473261.9021	512444.5976	552601.8886	593400.7080
37	269408.6440	298254.7489	329008.3512	361606.6570	395949.3709	431894.6744	469255.5461	507796.6031	547231.6663	587222.2654
38	267901.7979	296467.1898	326895.4004	359118.2491	393029.7914	428482.3816	465283.1055	503190.7670	541913.6321	581108.1522
39	266403.3799	294690.3443	324796.0195	356646.9653	390131.7397	425097.0484	461344.2933	498626.7069	536647.2789	575057.6987
40	264913.3427	292924.1481	322710.1211	354192.6878	387255.0572	421738.4619	457438.8247	494104.0439	531432.1045	569070.2421
41	263431.6395	291168.5374	320637.6187	351755.2994	384399.5862	418406.4107	453566.4175	489622.4026	526267.6116	563145.1264
42	261958.2238	289423.4487	318578.4263	349334.6840	381565.1704	415100.6853	449726.7919	485181.4108	521153.3075	557281.7025
43	260493.0491	287688.8191	316532.4585	346930.7261	378751.6545	411821.0775	445919.6702	480780.6999	516088.7045	551479.3282
44	259036.0693	285964.5858	314499.6302	344543.3112	375958.8844	408567.3812	442144.7774	476419.9044	511073.3198	545737.3677
45	257587.2387	284250.6866	312479.8570	342172.3253	373186.7071	405339.3915	438401.8406	472098.6624	506106.6748	540055.1921
46	256146.5116	282547.0594	310473.0553	339817.6554	370434.9708	402136.9053	434690.5893	467816.6151	501188.2961	534432.1789
47	254713.8428	280853.6427	308479.1415	337479.1893	367703.5247	398959.7212	431010.7553	463573.4070	496317.7145	528867.7121
48	253289.1871	279170.3753	306498.0331	335156.8154	364992.2193	395807.6392	427362.0726	459368.6859	491494.4655	523361.1820
49	251872.4997	277497.1964	304529.6477	332850.4230	362300.9060	392680.4611	423744.2774	455202.1025	486718.0892	517911.9855
50	250463.7361	275834.0456	302573.9036	330559.9021	359629.4374	389577.9900	420157.1084	451073.3110	481988.1300	512519.5257
51	249062.8519	274180.8627	300630.7196	328285.1435	356977.6672	386500.0308	416600.3063	446981.9687	477304.1369	507183.2117
52	247669.8031	272537.5879	298700.0151	326026.0387	354345.4502	383446.3897	413073.6139	442927.7358	472665.6632	501902.4590
53	246284.5458	270904.1620	296781.7100	323782.4801	351732.6421	380416.8748	409576.7764	438910.2757	468072.2664	496676.6891
54	244907.0366	269280.5258	294875.7245	321554.3605	349139.0999	377411.2952	406109.5411	434929.2550	463523.5086	491505.3295
55	243537.2319	267666.6207	292981.9797	319341.5738	346564.6814	374429.4621	402671.6573	430984.3431	459018.9560	486387.8138
56	242175.0888	266062.3884	291100.3968	317144.0145	344009.2458	371471.1876	399262.8767	427075.2125	454558.1788	481323.5812
57	240820.5644	264467.7709	289230.8977	314961.5778	341472.6529	368536.2857	395882.9528	423201.5386	450140.7519	476312.0770
58	239473.6160	262882.7106	287373.4049	312794.1595	338954.7639	365624.5718	392531.6413	419362.9999	445766.2537	471352.7522
59	238134.2013	261307.1502	285527.8413	310641.6565	336455.4409	362735.8626	389208.7000	415559.2776	441434.2673	466445.0635
60	236802.2783	259741.0327	283694.1302	308503.9659	333974.5469	359869.9764	385913.8888	411790.0560	437144.3793	461588.4733
61	235477.8048	258184.3016	281872.1956	306380.9860	331511.9461	357026.7328	382646.9696	408055.0221	432896.1808	456782.4495
62	234160.7394	256636.9006	280061.9617	304272.6153	329067.5036	354205.9530	379407.7061	404353.8659	428689.2666	452026.4657
63	232851.0405	255098.7737	278263.3535	302178.7536	326641.0854	351407.4595	376195.8643	400686.2800	424523.2354	447320.0008
64	231548.6670	253569.8655	276476.2962	300099.3007	324232.5587	348631.0761	373011.2121	397051.9601	420397.6900	442662.5393
65	230253.5779	252050.1207	274700.7158	298034.1578	321841.7916	345876.6283	369853.5193	393450.6042	416312.2370	438053.5709
66	228965.7324	250539.4843	272936.5385	295983.2261	319468.6531	343143.9427	366722.5576	389881.9136	412266.4866	433492.5907
67	227685.0900	249037.9017	271183.6910	293946.4080	317113.0132	340432.8474	363618.1009	386345.5918	408260.0531	428979.0991
68	226411.6105	247545.3187	269442.1006	291923.6064	314774.7429	337743.1718	360539.9246	382841.3452	404292.5545	424512.6016
69	225145.2537	246061.6813	267711.6950	289914.7247	312453.7141	335074.7466	357487.8063	379368.8831	400363.6122	420092.6090
70	223885.9799	244586.9360	265992.4025	287919.6672	310149.7997	332427.4040	354461.5255	375927.9170	396472.8516	415718.6370
71	222633.7494	243121.0294	264284.1515	285938.3387	307862.8735	329800.9774	351460.8634	372518.1612	392619.9018	411390.2064
72	221388.5229	241663.9086	262586.8712	283970.6448	305592.8102	327195.3016	348485.6031	369139.3328	388804.3951	407106.8432
73	220150.2611	240215.5208	260900.4911	282016.4917	303339.4854	324610.2125	345535.5296	365791.1512	385025.9678	402868.0779
74	218918.9251	238775.8139	259224.9413	280075.7861	301102.7759	322045.5476	342610.4297	362473.3383	381284.2596	398673.4464
75	217694.4761	237344.7356	257560.1522	278148.4356	298882.5589	319501.1455	339710.0919	359185.6188	377578.9135	394522.4891
76	216476.8757	235922.2344	255906.0546	276234.3482	296678.7130	316976.8460	336834.3068	355927.7197	373909.5762	390414.7512
77	215266.0856	234508.2588	254262.5800	274333.4327	294491.1175	314472.4905	333982.8663	352699.3705	370275.8977	386349.7828
78	214062.0675	233102.7577	252629.6600	272445.5983	292319.6524	311987.9212	331155.5644	349500.3033	366677.5316	382327.1385
79	212864.7838	231705.6804	251007.2269	270570.7552	290164.1989	309522.9819	328352.1968	346330.2523	363114.1347	378346.3776
80	211674.1966	230316.9763	249395.2134	268708.8138	288024.6388	307077.5175	325572.5608	343188.9544	359585.3671	374407.0642
81	210490.2686	228936.5952	247793.5526	266859.6855	285900.8551	304651.3740	322816.4556	340076.1489	356090.8922	370508.7666
82	209312.9625	227564.4873	246202.1779	265023.2820	283792.7313	302244.3990	320083.6820	336991.5772	352630.3770	366651.0577
83	208142.2413	226200.6030	244621.0233	263199.5157	281700.1521	299856.4408	317374.0424	333934.9834	349203.4912	362833.5150
84	206978.0681	224844.8930	243050.0231	261388.2998	279623.0027	297487.3493	314687.3411	330906.1136	345809.9082	359055.7203
85	205820.4063	223497.3083	241489.1122	259589.5478	277561.1694	295136.9754	312023.3837	327904.7163	342449.3042	355317.2597
86	204669.2195	222157.8002	239938.2258	257803.1740	275514.5393	292805.1713	309381.9779	324930.5424	339121.3588	351617.7236
87	203524.4714	220826.3203	238397.2994	256029.0931	273483.0002	290491.7901	306762.9326	321983.3450	335825.7546	347956.7069
88	202386.1261	219502.8206	236866.2691	254267.2207	271466.4410	288196.6864	304166.0586	319062.8794	332562.1773	344333.8083
89	201254.1478	218187.2530	235345.0714	252517.4726	269464.7511	285919.7158	301591.1682	316168.9031	329330.3157	340748.6311
90	200128.5008	216879.5702	233833.6431	250779.7655	267477.8209	283660.7349	299038.0754	313301.1759	326129.8615	337200.7825
91	199009.1498	215579.7249	232331.9214	249054.0165	265505.5415	281419.6017	296506.5955	310459.4596	322960.5096	333689.8739
92	197896.0594	214287.6700	230839.8441	247340.1433	263547.8050	279196.1751	293996.5456	307643.5184	319821.9576	330215.5205
93	196789.1947	213003.3589	229357.3491	245638.0641	261604.5041	276990.3152	291507.7443	304853.1184	316713.9063	326777.3418
94	195688.5210	211726.7452	227884.3750	243947.6979	259675.5324	274801.8834	289040.0118	302088.0280	313636.0592	323374.9612
95	194594.0034	210457.7828	226420.8606	242268.9639	257760.7841	272630.7417	286593.1696	299348.0177	310588.1228	320008.0059
96	193505.6077	209196.4258	224966.7452	240601.7823	255860.1545	270476.7537	284167.0409	296632.8599	307569.8066	316676.1071
97	192423.2996	207942.6286	223521.9684	238946.0734	253973.5394	268339.7839	281761.4504	293942.3292	304580.8225	313378.8998
98	191347.0449	206696.3459	222086.4701	237301.7583	252100.8355	266219.6977	279376.2242	291276.2023	301620.8855	310116.0227
99	190276.8100	205457.5326	220660.1909	235668.7586	250241.9401	264116.3618	277011.1900	288634.2578	298689.7135	306887.1185
100	189212.5610	204226.1441	219243.0715	234046.9965	248396.7516	262029.6438	274666.1767	286016.2763	295787.0267	303691.8334
101	188154.2646	203002.1357	217835.0532	232436.3945	246565.1688	259959.4125	272341.0149	283422.0406	292912.5485	300529.8173
102	187101.8873	201785.4633	216436.0773	230836.8760	244747.0914	257905.5375	270035.5366	280851.3352	290066.0046	297400.7239
103	186055.3962	200576.0829	215046.0859	229248.3646	242942.4197	255867.8898	267749.5750	278303.9467	287247.1236	294304.2104
104	185014.7583	199373.9509	213665.0214	227670.7846	241151.0551	253846.3409	265482.9651	275779.6636	284455.6367	291239.9375
105	183979.9408	198179.0236	212292.8262	226104.0608	239372.8992	251840.7638	263235.5430	273278.2764	281691.2777	288207.5696
106	182950.9113	196991.2581	210929.4435	224548.1184	237607.8549	249851.0323	261007.1462	270799.5774	278953.7829	285206.7745
107	181927.6373	195810.6113	209574.8168	223002.8833	235855.8252	247877.0212	258797.6137	268343.3607	276242.8913	282237.2235
108	180910.0866	194637.0406	208228.8897	221468.2818	234116.7144	245918.6062	256606.7858	265909.4225	273558.3442	279298.5912
109	179898.2272	193470.5035	206891.6063	219944.2407	232390.4271	243975.6642	254434.5042	263497.5607	270899.8858	276390.5557
110	178892.0273	192310.9580	205562.9113	218430.6873	230676.8688	242048.0729	252280.6118	261107.5751	268267.2625	273512.7984
111	177891.4553	191158.3621	204242.7493	216927.5495	228975.9457	240135.7110	250144.9530	258739.2672	265660.2232	270665.0041
112	176896.4796	190012.6741	202931.0657	215434.7556	227287.5645	238238.4582	248027.3734	256392.4405	263078.5192	267846.8609
113	175907.0690	188873.8528	201627.8059	213952.2344	225611.6327	236356.1952	245927.7201	254066.9000	260521.9045	265058.0599
114	174923.1923	187741.8568	200332.9160	212479.9152	223948.0587	234488.8034	243845.8411	251762.4527	257990.1351	262298.2957
115	173944.8186	186616.6453	199046.3420	211017.7279	222296.7512	232636.1654	241781.5861	249478.9073	255482.9696	259567.2660
116	172971.9171	185498.1777	197768.0306	209565.6026	220657.6198	230798.1647	239734.8058	247216.0742	253000.1689	256864.6715
117	172004.4572	184386.4135	196497.9288	208123.4701	219030.5747	228974.6855	237705.3524	244973.7655	250541.4962	254190.2163
118	171042.4085	183281.3125	195235.9838	206691.2618	217415.5269	227165.6133	235693.0792	242751.7951	248106.7171	251543.6073
119	170085.7407	182182.8349	193982.1433	205268.9092	215812.3878	225370.8340	233697.8406	240549.9786	245695.5993	248924.5545
120	169134.4236	181090.9408	192736.3551	203856.3446	214221.0696	223590.2348	231719.4926	238368.1330	243307.9129	246332.7712
121	168188.4274	180005.5909	191498.5676	202453.5006	212641.4852	221823.7038	229757.8921	236206.0772	240943.4302	243767.9732
122	167247.7224	178926.7460	190268.7294	201060.3103	211073.5481	220071.1296	227812.8974	234063.6319	238601.9257	241229.8798
123	166312.2788	177854.3669	189046.7894	199676.7073	209517.1723	218332.4021	225884.3678	231940.6190	236283.1762	238718.2128
124	165382.0673	176788.4151	187832.6970	198302.6257	207972.2727	216607.4119	223972.1640	229836.8623	233986.9603	236232.6971
125	164457.0587	175728.8520	186626.4017	196937.9998	206438.7645	214896.0503	222076.1479	227752.1873	231713.0593	233773.0604
126	163537.2238	174675.6392	185427.8534	195582.7646	204916.5639	213198.2099	220196.1822	225686.4207	229461.2562	231339.0332
127	162622.5336	173628.7388	184237.0024	194236.8555	203405.5874	211513.7836	218332.1313	223639.3911	227231.3363	228930.3489
128	161712.9595	172588.1128	183053.7993	192900.2083	201905.7522	209842.6656	216483.8603	221610.9286	225023.0868	226546.7437
129	160808.4728	171553.7238	181878.1949	191572.7593	200416.9763	208184.7506	214651.2357	219600.8647	222836.2973	224187.9564
130	159909.0450	170525.5342	180710.1405	190254.4452	198939.1780	206539.9345	212834.1250	217609.0325	220670.7592	221853.7286
131	159014.6479	169503.5070	179549.5875	188945.2031	197472.2764	204908.1136	211032.3968	215635.2668	218526.2659	219543.8046
132	158125.2532	168487.6052	178396.4878	187644.9707	196016.1913	203289.1853	209245.9211	213679.4036	216402.6129	217257.9313
133	157240.8331	167477.7921	177250.7935	186353.6858	194570.8427	201683.0478	207474.5686	211741.2805	214299.5977	214995.8584
134	156361.3597	166474.0312	176112.4571	185071.2869	193136.1516	200089.6000	205718.2113	209820.7367	212217.0198	212757.3380
135	155486.8053	165476.2862	174981.4313	183797.7129	191712.0393	198508.7416	203976.7223	207917.6126	210154.6805	210542.1250
136	154617.1425	164484.5212	173857.6691	182532.9030	190298.4279	196940.3732	202249.9758	206031.7504	208112.3832	208349.9765
137	153752.3438	163498.7001	172741.1239	181276.7969	188895.2400	195384.3961	200537.8468	204162.9933	206089.9331	206180.6525
138	152892.3821	162518.7875	171631.7494	180029.3348	187502.3986	193840.7123	198840.2117	202311.1864	204087.1372	204033.9154
139	152037.2303	161544.7479	170529.4994	178790.4572	186119.8275	192309.2249	197156.9478	200476.1757	202103.8047	201909.5299
140	151186.8615	160576.5461	169434.3284	177560.1049	184747.4509	190789.8373	195487.9334	198657.8091	200139.7463	199807.2634
141	150341.2489	159614.1472	168346.1907	176338.2193	183385.1937	189282.4541	193833.0479	196855.9354	198194.7748	197726.8855
142	149500.3660	158657.5162	167265.0412	175124.7422	182032.9813	187786.9803	192192.1717	195070.4052	196268.7046	195668.1683
143	148664.1863	157706.6187	166190.8351	173919.6156	180690.7396	186303.3218	190565.1862	193301.0702	194361.3521	193630.8864
144	147832.6835	156761.4204	165123.5277	172722.7822	179358.3951	184831.3854	188951.9738	191547.7835	192472.5354	191614.8165
145	147005.8313	155821.8870	164063.0747	171534.1848	178035.8747	183371.0784	187352.4179	189810.3994	190602.0743	189619.7377
146	146183.6040	154887.9845	163009.4322	170353.7668	176723.1061	181922.3089	185766.4028	188088.7739	188749.7905	187645.4315
147	145365.9754	153959.6794	161962.5563	169181.4719	175420.0174	180484.9858	184193.8141	186382.7640	186915.5074	185691.6817
148	144552.9200	153036.9379	160922.4037	168017.2441	174126.5372	179059.0186	182634.5379	184692.2279	185099.0499	183758.2741
149	143744.4122	152119.7268	159888.9311	166861.0281	172842.5946	177644.3177	181088.4617	183017.0254	183300.2448	181844.9971
150	142940.4264	151208.0129	158862.0957	165712.7685	171568.1193	176240.7939	179555.4737	181357.0174	181518.9207	179951.6409
151	142140.9375	150301.7632	157841.8548	164572.4108	170303.0414	174848.3590	178035.4630	179712.0661	179754.9076	178077.9983
152	141345.9203	149400.9451	156828.1660	163439.9005	169047.2918	173466.9254	176528.3198	178082.0348	178008.0373	176223.8638
153	140555.3497	148505.5259	155820.9874	162315.1835	167800.8016	172096.4062	175033.9352	176466.7884	176278.1432	174389.0345
154	139769.2009	147615.4734	154820.2770	161198.2064	166563.5026	170736.7151	173552.2012	174866.1926	174565.0604	172573.3092
155	138987.4491	146730.7552	153825.9934	160088.9157	165335.3269	169387.7666	172083.0106	173280.1146	172868.6254	170776.4891
156	138210.0699	145851.3396	152838.0952	158987.2587	164116.2073	168049.4758	170626.2574	171708.4227	171188.6764	168998.3774
157	137437.0386	144977.1946	151856.5415	157893.1828	162906.0770	166721.7585	169181.8362	170150.9864	169525.0533	167238.7793
158	136668.3310	144108.2887	150881.2915	156806.6357	161704.8698	165404.5312	167749.6426	168607.6764	167877.5975	165497.5020
159	135903.9230	143244.5906	149912.3048	155727.5658	160512.5198	164097.7110	166329.5731	167078.3647	166246.1517	163774.3547
