#z	s	x	dir	northing	easting	Ta	P	atm_dens	col_dens	n	Q	Cp	Rg	V	Ue	M	theta	U	R	Tm	Time
1300.0000	0.0000	0.0000	148.3203	0.0000	0.0000	270.8000	87508.0986	1.1338	5.2391	0.0300	1.2732e+05	1623.9900	462.0000	12.9484	0.0000	17825353.6263	1.5708	140.0000	13.1753	1200.0000	0.0000
1309.9999	10.0000	0.0533	148.3710	-0.0454	0.0280	270.8000	87396.9404	1.1324	2.6233	0.0826	1.3462e+05	1590.0590	345.8177	13.0366	23.5986	17760503.3777	1.5655	131.9298	19.7223	1164.2834	0.0735
1319.9988	20.0000	0.1986	148.4218	-0.1691	0.1042	270.8000	87285.9335	1.1310	1.5559	0.1603	1.4708e+05	1539.8953	313.6738	13.1248	22.6345	17716551.0234	1.5563	120.4528	28.0144	1114.4294	0.1528
1329.9953	30.0000	0.4640	148.4725	-0.3952	0.2432	270.8000	87175.0950	1.1295	1.1206	0.2433	1.6322e+05	1486.3129	302.0223	13.2130	21.6179	17704336.3478	1.5443	108.4677	36.6451	1057.7724	0.2402
1339.9868	40.0000	0.8755	148.5231	-0.7459	0.4583	270.8000	87064.4519	1.1281	0.9064	0.3244	1.8281e+05	1434.0026	296.4010	13.3011	20.6432	17735489.5464	1.5296	97.0185	45.5949	998.5384	0.3375
1349.9699	50.0000	1.4563	148.5738	-1.2413	0.7616	270.8000	86954.0423	1.1267	0.7897	0.3994	2.0564e+05	1385.5871	293.2313	13.3892	19.7598	17822023.2723	1.5127	86.6660	54.8163	939.8153	0.4464
1359.9402	60.0000	2.2268	148.6243	-1.8988	1.1634	270.8000	86843.9144	1.1252	0.7228	0.4667	2.3158e+05	1342.1730	291.2557	13.4771	18.9858	17975713.8599	1.4937	77.6221	64.2447	883.6029	0.5681
1369.8924	70.0000	3.2037	148.6748	-2.7328	1.6720	270.8000	86734.1256	1.1238	0.6843	0.5259	2.6051e+05	1303.9517	289.9348	13.5649	18.3209	18207470.7093	1.4730	69.8916	73.8045	831.0445	0.7037
1379.8206	80.0000	4.3995	148.7252	-3.7543	2.2936	270.8000	86624.7390	1.1224	0.6629	0.5775	2.9234e+05	1270.6409	289.0045	13.6524	17.7557	18526751.9941	1.4509	63.3742	83.4158	782.6805	0.8538
1389.7189	90.0000	5.8223	148.7754	-4.9703	3.0323	270.8000	86515.8202	1.1210	0.6527	0.6223	3.2698e+05	1241.7540	288.3226	13.7397	17.2774	18941086.1199	1.4280	57.9267	92.9989	738.6563	1.0186
