source	x	y	z	R	time
0	3.8895	-6.3843	1399.5812	102.4801	1.1983
1	18.1651	-30.2118	1495.4875	184.6418	3.6592
2	39.3766	-65.7107	1586.4852	250.3269	6.8065
3	65.8434	-107.1562	1673.5312	312.6040	10.2684
4	96.9282	-152.5136	1757.0351	375.1333	13.9346
5	132.3172	-200.8444	1837.0898	438.3061	17.7582
6	171.8018	-251.5156	1913.7107	501.6834	21.7078
7	215.1825	-304.0156	1986.9194	564.6673	25.7577
8	262.2227	-357.9043	2056.7853	626.3987	29.8857
9	312.5251	-412.7291	2123.5865	686.4041	34.0736
10	365.7522	-468.0627	2187.6479	744.6650	38.3082
11	421.6471	-523.5956	2249.2176	801.3177	42.5799
12	480.0019	-579.0992	2308.4900	856.4527	46.8819
13	540.6418	-634.3991	2365.6211	910.1334	51.2086
14	603.4163	-689.3602	2420.7388	962.4067	55.5558
15	668.1927	-743.8760	2473.9498	1013.3084	59.9198
16	734.8525	-797.8621	2525.3446	1062.8665	64.2979
17	803.2880	-851.2511	2575.0001	1111.1037	68.6877
18	873.4009	-903.9895	2622.9831	1158.0382	73.0871
19	945.1003	-956.0349	2669.3515	1203.6852	77.4946
20	1018.3017	-1007.3544	2714.1560	1248.0567	81.9088
21	1092.9265	-1057.9227	2757.4411	1291.1628	86.3283
22	1168.9005	-1107.7214	2799.2463	1333.0116	90.7523
23	1246.1540	-1156.7376	2839.6066	1373.6095	95.1800
24	1324.6212	-1204.9637	2878.5530	1412.9614	99.6105
25	1404.2394	-1252.3962	2916.1133	1451.0711	104.0433
26	1484.9495	-1299.0354	2952.3125	1487.9412	108.4778
27	1566.6946	-1344.8853	2987.1727	1523.5735	112.9137
28	1649.4209	-1389.9527	3020.7142	1557.9689	117.3505
29	1733.0767	-1434.2472	3052.9546	1591.1472	121.7880
30	1817.5335	-1477.9368	3083.9079	1622.1240	126.2258
31	1902.5467	-1521.4239	3113.5972	1653.0769	130.6631
32	1988.0750	-1564.7273	3142.0504	1682.9184	135.0989
33	2074.0884	-1607.8470	3169.2948	1711.6573	139.5325
34	2160.5584	-1650.7843	3195.3560	1739.3033	143.9632
35	2247.4581	-1693.5412	3220.2591	1765.8668	148.3905
36	2334.7620	-1736.1203	3244.0275	1791.3586	152.8139
37	2422.4455	-1778.5252	3266.6839	1815.7895	157.2331
38	2510.4856	-1820.7596	3288.2495	1839.1704	161.6478
39	2598.8603	-1862.8282	3308.7448	1861.5124	166.0579
40	2687.5484	-1904.7358	3328.1888	1882.8262	170.4633
41	2776.5299	-1946.4878	3346.6000	1903.1222	174.8638
42	2865.7855	-1988.0899	3363.9955	1922.4107	179.2595
43	2955.2969	-2029.5483	3380.3917	1940.7017	183.6503
44	3045.0463	-2070.8692	3395.8041	1958.0048	188.0364
45	3135.0168	-2112.0593	3410.2474	1974.3292	192.4178
46	3225.1920	-2153.1253	3423.7353	1989.6839	196.7946
47	3315.5563	-2194.0744	3436.2809	2004.0775	201.1669
48	3406.0944	-2234.9137	3447.8967	2017.5182	205.5350
49	3496.7917	-2275.6505	3458.5943	2030.0141	209.8990
50	3587.6340	-2316.2924	3468.3848	2041.5727	214.2591
51	3678.6074	-2356.8469	3477.2787	2052.2013	218.6155
52	3769.6986	-2397.3217	3485.2858	2061.9071	222.9684
53	3860.8946	-2437.7246	3492.4154	2070.6967	227.3180
54	3952.1827	-2478.0634	3498.6765	2078.5766	231.6647
55	4043.5506	-2518.3460	3504.0773	2085.5531	236.0086
56	4134.9861	-2558.5803	3508.6258	2091.6323	240.3499
57	4226.4774	-2598.7744	3512.3295	2096.8199	244.6890
58	4318.0130	-2638.9360	3515.1954	2101.1216	249.0261
59	4409.5815	-2679.0734	3517.2303	2104.5428	253.3615
60	4501.1719	-2719.1943	3518.4406	2107.0889	257.6953
61	4592.7730	-2759.3070	3518.8322	2108.7651	262.0280
62	4684.3759	-2799.4181	3518.8322	2108.7651	266.1991
63	4775.9789	-2839.5292	3518.8322	2108.7651	269.9369
64	4867.5818	-2879.6403	3518.8322	2108.7651	273.6748
65	4959.1848	-2919.7514	3518.8322	2108.7651	277.4126
66	5050.7877	-2959.8625	3518.8322	2108.7651	281.1505
67	5142.3907	-2999.9736	3518.8322	2108.7651	284.8883
68	5233.9936	-3040.0847	3518.8322	2108.7651	288.6262
69	5325.5965	-3080.1958	3518.8322	2108.7651	292.3640
70	5417.1995	-3120.3069	3518.8322	2108.7651	296.1019
71	5508.8024	-3160.4181	3518.8322	2108.7651	299.8397
72	5600.4054	-3200.5292	3518.8322	2108.7651	303.5776
73	5692.0083	-3240.6403	3518.8322	2108.7651	307.3154
74	5783.6112	-3280.7514	3518.8322	2108.7651	311.0533
75	5875.2142	-3320.8625	3518.8322	2108.7651	314.7911
76	5966.8171	-3360.9736	3518.8322	2108.7651	318.5290
77	6058.4201	-3401.0847	3518.8322	2108.7651	322.2668
78	6150.0230	-3441.1958	3518.8322	2108.7651	326.0047
79	6241.6260	-3481.3069	3518.8322	2108.7651	329.7425
80	6333.2289	-3521.4180	3518.8322	2108.7651	333.4804
81	6424.8318	-3561.5291	3518.8322	2108.7651	337.2182
82	6516.4348	-3601.6403	3518.8322	2108.7651	340.9561
83	6608.0377	-3641.7514	3518.8322	2108.7651	344.6939
84	6699.6407	-3681.8625	3518.8322	2108.7651	348.4318
85	6791.2436	-3721.9736	3518.8322	2108.7651	352.1696
86	6882.8466	-3762.0847	3518.8322	2108.7651	355.9075
87	6974.4495	-3802.1958	3518.8322	2108.7651	359.6453
88	7066.0524	-3842.3069	3518.8322	2108.7651	363.3832
89	7157.6554	-3882.4180	3518.8322	2108.7651	367.1210
90	7249.2583	-3922.5291	3518.8322	2108.7651	370.8589
91	7340.8613	-3962.6402	3518.8322	2108.7651	374.5967
92	7432.4642	-4002.7513	3518.8322	2108.7651	378.3346
93	7524.0671	-4042.8624	3518.8322	2108.7651	382.0724
94	7615.6701	-4082.9736	3518.8322	2108.7651	385.8103
95	7707.2730	-4123.0847	3518.8322	2108.7651	389.5481
96	7798.8760	-4163.1958	3518.8322	2108.7651	393.2860
97	7890.4789	-4203.3069	3518.8322	2108.7651	397.0238
98	7982.0819	-4243.4180	3518.8322	2108.7651	400.7617
99	8073.6848	-4283.5291	3518.8322	2108.7651	404.4995
100	8165.2877	-4323.6402	3518.8322	2108.7651	408.2374
101	8256.8907	-4363.7513	3518.8322	2108.7651	411.9752
102	8348.4936	-4403.8624	3518.8322	2108.7651	415.7131
103	8440.0966	-4443.9735	3518.8322	2108.7651	419.4509
104	8531.6995	-4484.0846	3518.8322	2108.7651	423.1888
105	8623.3024	-4524.1958	3518.8322	2108.7651	426.9266
106	8714.9054	-4564.3069	3518.8322	2108.7651	430.6645
107	8806.5083	-4604.4180	3518.8322	2108.7651	434.4023
108	8898.1113	-4644.5291	3518.8322	2108.7651	438.1402
109	8989.7142	-4684.6402	3518.8322	2108.7651	441.8780
110	9081.3172	-4724.7513	3518.8322	2108.7651	445.6159
111	9172.9201	-4764.8624	3518.8322	2108.7651	449.3537
112	9264.5230	-4804.9735	3518.8322	2108.7651	453.0916
113	9356.1260	-4845.0846	3518.8322	2108.7651	456.8294
114	9447.7289	-4885.1957	3518.8322	2108.7651	460.5673
115	9539.3319	-4925.3068	3518.8322	2108.7651	464.3051
116	9630.9348	-4965.4179	3518.8322	2108.7651	468.0430
117	9722.5378	-5005.5291	3518.8322	2108.7651	471.7808
118	9814.1407	-5045.6402	3518.8322	2108.7651	475.5187
119	9905.7436	-5085.7513	3518.8322	2108.7651	479.2565
120	9997.3466	-5125.8624	3518.8322	2108.7651	482.9944
121	10088.9495	-5165.9735	3518.8322	2108.7651	486.7322
122	10180.5525	-5206.0846	3518.8322	2108.7651	490.4701
123	10272.1554	-5246.1957	3518.8322	2108.7651	494.2079
124	10363.7583	-5286.3068	3518.8322	2108.7651	497.9458
125	10455.3613	-5326.4179	3518.8322	2108.7651	501.6836
126	10546.9642	-5366.5290	3518.8322	2108.7651	505.4215
127	10638.5672	-5406.6401	3518.8322	2108.7651	509.1593
128	10730.1701	-5446.7512	3518.8322	2108.7651	512.8972
129	10821.7731	-5486.8624	3518.8322	2108.7651	516.6350
130	10913.3760	-5526.9735	3518.8322	2108.7651	520.3729
131	11004.9789	-5567.0846	3518.8322	2108.7651	524.1107
132	11096.5819	-5607.1957	3518.8322	2108.7651	527.8486
133	11188.1848	-5647.3068	3518.8322	2108.7651	531.5864
134	11279.7878	-5687.4179	3518.8322	2108.7651	535.3243
135	11371.3907	-5727.5290	3518.8322	2108.7651	539.0621
136	11462.9936	-5767.6401	3518.8322	2108.7651	542.8000
137	11554.5966	-5807.7512	3518.8322	2108.7651	546.5378
138	11646.1995	-5847.8623	3518.8322	2108.7651	550.2757
139	11737.8025	-5887.9734	3518.8322	2108.7651	554.0135
140	11829.4054	-5928.0846	3518.8322	2108.7651	557.7514
141	11921.0084	-5968.1957	3518.8322	2108.7651	561.4892
142	12012.6113	-6008.3068	3518.8322	2108.7651	565.2271
143	12104.2142	-6048.4179	3518.8322	2108.7651	568.9649
144	12195.8172	-6088.5290	3518.8322	2108.7651	572.7028
145	12287.4201	-6128.6401	3518.8322	2108.7651	576.4406
146	12379.0231	-6168.7512	3518.8322	2108.7651	580.1785
147	12470.6260	-6208.8623	3518.8322	2108.7651	583.9163
148	12562.2289	-6248.9734	3518.8322	2108.7651	587.6542
149	12653.8319	-6289.0845	3518.8322	2108.7651	591.3920
150	12745.4348	-6329.1956	3518.8322	2108.7651	595.1299
151	12837.0378	-6369.3067	3518.8322	2108.7651	598.8677
152	12928.6407	-6409.4179	3518.8322	2108.7651	602.6056
153	13020.2437	-6449.5290	3518.8322	2108.7651	606.3434
154	13111.8466	-6489.6401	3518.8322	2108.7651	610.0813
155	13203.4495	-6529.7512	3518.8322	2108.7651	613.8191
156	13295.0525	-6569.8623	3518.8322	2108.7651	617.5570
157	13386.6554	-6609.9734	3518.8322	2108.7651	621.2948
158	13478.2584	-6650.0845	3518.8322	2108.7651	625.0327
159	13569.8613	-6690.1956	3518.8322	2108.7651	628.7706
160	13661.4643	-6730.3067	3518.8322	2108.7651	632.5084
161	13753.0672	-6770.4178	3518.8322	2108.7651	636.2463
162	13844.6701	-6810.5289	3518.8322	2108.7651	639.9841
163	13936.2731	-6850.6401	3518.8322	2108.7651	643.7220
164	14027.8760	-6890.7512	3518.8322	2108.7651	647.4598
165	14119.4790	-6930.8623	3518.8322	2108.7651	651.1977
166	14211.0819	-6970.9734	3518.8322	2108.7651	654.9355
167	14302.6848	-7011.0845	3518.8322	2108.7651	658.6734
168	14394.2878	-7051.1956	3518.8322	2108.7651	662.4112
169	14485.8907	-7091.3067	3518.8322	2108.7651	666.1491
170	14577.4937	-7131.4178	3518.8322	2108.7651	669.8869
171	14669.0966	-7171.5289	3518.8322	2108.7651	673.6248
172	14760.6996	-7211.6400	3518.8322	2108.7651	677.3626
173	14852.3025	-7251.7511	3518.8322	2108.7651	681.1005
174	14943.9054	-7291.8622	3518.8322	2108.7651	684.8383
175	15035.5084	-7331.9734	3518.8322	2108.7651	688.5762
176	15127.1113	-7372.0845	3518.8322	2108.7651	692.3140
177	15218.7143	-7412.1956	3518.8322	2108.7651	696.0519
178	15310.3172	-7452.3067	3518.8322	2108.7651	699.7897
179	15401.9201	-7492.4178	3518.8322	2108.7651	703.5276
180	15493.5231	-7532.5289	3518.8322	2108.7651	707.2654
181	15585.1260	-7572.6400	3518.8322	2108.7651	711.0033
182	15676.7290	-7612.7511	3518.8322	2108.7651	714.7411
183	15768.3319	-7652.8622	3518.8322	2108.7651	718.4790
184	15859.9349	-7692.9733	3518.8322	2108.7651	722.2168
185	15951.5378	-7733.0844	3518.8322	2108.7651	725.9547
186	16043.1407	-7773.1955	3518.8322	2108.7651	729.6925
187	16134.7437	-7813.3067	3518.8322	2108.7651	733.4304
188	16226.3466	-7853.4178	3518.8322	2108.7651	737.1682
189	16317.9496	-7893.5289	3518.8322	2108.7651	740.9061
190	16409.5525	-7933.6400	3518.8322	2108.7651	744.6439
191	16501.1555	-7973.7511	3518.8322	2108.7651	748.3818
192	16592.7584	-8013.8622	3518.8322	2108.7651	752.1196
193	16684.3613	-8053.9733	3518.8322	2108.7651	755.8575
194	16775.9643	-8094.0844	3518.8322	2108.7651	759.5953
195	16867.5672	-8134.1955	3518.8322	2108.7651	763.3332
196	16959.1702	-8174.3066	3518.8322	2108.7651	767.0710
197	17050.7731	-8214.4177	3518.8322	2108.7651	770.8089
198	17142.3760	-8254.5289	3518.8322	2108.7651	774.5467
199	17233.9790	-8294.6400	3518.8322	2108.7651	778.2846
200	17325.5819	-8334.7511	3518.8322	2108.7651	782.0224
201	17417.1849	-8374.8622	3518.8322	2108.7651	785.7603
202	17508.7878	-8414.9733	3518.8322	2108.7651	789.4981
203	17600.3908	-8455.0844	3518.8322	2108.7651	793.2360
204	17691.9937	-8495.1955	3518.8322	2108.7651	796.9738
205	17783.5966	-8535.3066	3518.8322	2108.7651	800.7117
206	17875.1996	-8575.4177	3518.8322	2108.7651	804.4495
207	17966.8025	-8615.5288	3518.8322	2108.7651	808.1874
208	18058.4055	-8655.6399	3518.8322	2108.7651	811.9252
209	18150.0084	-8695.7510	3518.8322	2108.7651	815.6631
210	18241.6113	-8735.8622	3518.8322	2108.7651	819.4009
211	18333.2143	-8775.9733	3518.8322	2108.7651	823.1388
212	18424.8172	-8816.0844	3518.8322	2108.7651	826.8766
213	18516.4202	-8856.1955	3518.8322	2108.7651	830.6145
