calc_step	x	y	z	R	time
0	0.0280	-0.0454	1309.9999	19.7223	0.0735
1	0.1042	-0.1691	1319.9988	28.0144	0.1528
2	0.2432	-0.3952	1329.9953	36.6451	0.2402
3	0.4583	-0.7459	1339.9868	45.5949	0.3375
4	0.7616	-1.2413	1349.9699	54.8163	0.4464
5	1.1634	-1.8988	1359.9402	64.2447	0.5681
6	1.6720	-2.7328	1369.8924	73.8045	0.7037
7	2.2936	-3.7543	1379.8206	83.4158	0.8538
8	3.0323	-4.9703	1389.7189	92.9989	1.0186
9	3.8895	-6.3843	1399.5812	102.4801	1.1983
10	4.8644	-7.9957	1409.4023	111.7962	1.3924
11	5.9544	-9.8009	1419.1774	120.8984	1.6004
12	7.1553	-11.7935	1428.9030	129.7532	1.8215
13	8.4616	-13.9654	1438.5765	138.3426	2.0548
14	9.8674	-16.3072	1448.1963	146.6619	2.2994
15	11.3661	-18.8086	1457.7617	154.7175	2.5543
16	12.9514	-21.4595	1467.2727	162.5230	2.8185
17	14.6168	-24.2499	1476.7300	170.0977	3.0913
18	16.3566	-27.1702	1486.1345	177.4631	3.3718
19	18.1651	-30.2118	1495.4875	184.6418	3.6592
20	20.0372	-33.3663	1504.7903	191.6563	3.9530
21	21.9685	-36.6265	1514.0446	198.5277	4.2524
22	23.9546	-39.9858	1523.2517	205.2756	4.5572
23	25.9920	-43.4380	1532.4131	211.9179	4.8667
24	28.0774	-46.9782	1541.5300	218.4204	5.1807
25	30.2232	-50.5928	1550.6036	224.9027	5.4987
26	32.4276	-54.2770	1559.6351	231.3247	5.8205
27	34.6890	-58.0271	1568.6252	237.6969	6.1459
28	37.0058	-61.8394	1577.5750	244.0283	6.4746
29	39.3766	-65.7107	1586.4852	250.3269	6.8065
30	41.8003	-69.6383	1595.3566	256.5995	7.1413
31	44.2756	-73.6193	1604.1897	262.8517	7.4790
32	46.8017	-77.6517	1612.9851	269.0886	7.8193
33	49.3777	-81.7332	1621.7433	275.3145	8.1622
34	52.0028	-85.8619	1630.4647	281.5330	8.5076
35	54.6764	-90.0360	1639.1496	287.7470	8.8553
36	57.3977	-94.2539	1647.7985	293.9592	9.2054
37	60.1664	-98.5141	1656.4116	300.1716	9.5576
38	62.9818	-102.8153	1664.9891	306.3861	9.9119
39	65.8434	-107.1562	1673.5312	312.6040	10.2684
40	68.7510	-111.5355	1682.0381	318.8266	10.6268
41	71.7041	-115.9521	1690.5100	325.0548	10.9872
42	74.7023	-120.4050	1698.9470	331.2893	11.3494
43	77.7453	-124.8932	1707.3492	337.5306	11.7135
44	80.8328	-129.4157	1715.7166	343.7791	12.0795
45	83.9645	-133.9717	1724.0494	350.0350	12.4471
46	87.1401	-138.5603	1732.3476	356.2985	12.8165
